yearMonth,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
January 2000,Consumer Price Indices,887,Yemen,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,12.00295,I,Imputed value,base year is 2015
February 2000,Consumer Price Indices,887,Yemen,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,12.338672,I,Imputed value,base year is 2015
March 2000,Consumer Price Indices,887,Yemen,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,12.674393,I,Imputed value,base year is 2015
April 2000,Consumer Price Indices,887,Yemen,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,13.010114,I,Imputed value,base year is 2015
May 2000,Consumer Price Indices,887,Yemen,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,13.345836,I,Imputed value,base year is 2015
June 2000,Consumer Price Indices,887,Yemen,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,13.681557,I,Imputed value,base year is 2015
July 2000,Consumer Price Indices,887,Yemen,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,14.017279,I,Imputed value,base year is 2015
August 2000,Consumer Price Indices,887,Yemen,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,14.353,I,Imputed value,base year is 2015
September 2000,Consumer Price Indices,887,Yemen,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,14.688721,I,Imputed value,base year is 2015
October 2000,Consumer Price Indices,887,Yemen,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,15.024443,I,Imputed value,base year is 2015
November 2000,Consumer Price Indices,887,Yemen,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,15.360164,I,Imputed value,base year is 2015
December 2000,Consumer Price Indices,887,Yemen,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,15.695885,I,Imputed value,base year is 2015
January 2001,Consumer Price Indices,887,Yemen,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,16.031607,I,Imputed value,base year is 2015
February 2001,Consumer Price Indices,887,Yemen,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,16.367328,I,Imputed value,base year is 2015
March 2001,Consumer Price Indices,887,Yemen,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,16.70305,I,Imputed value,base year is 2015
April 2001,Consumer Price Indices,887,Yemen,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,17.038771,I,Imputed value,base year is 2015
May 2001,Consumer Price Indices,887,Yemen,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,17.374492,I,Imputed value,base year is 2015
June 2001,Consumer Price Indices,887,Yemen,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,17.710214,I,Imputed value,base year is 2015
July 2001,Consumer Price Indices,887,Yemen,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,18.045935,I,Imputed value,base year is 2015
August 2001,Consumer Price Indices,887,Yemen,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,18.381656,I,Imputed value,base year is 2015
September 2001,Consumer Price Indices,887,Yemen,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,18.717378,I,Imputed value,base year is 2015
October 2001,Consumer Price Indices,887,Yemen,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,19.053099,I,Imputed value,base year is 2015
November 2001,Consumer Price Indices,887,Yemen,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,19.388821,I,Imputed value,base year is 2015
December 2001,Consumer Price Indices,887,Yemen,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,19.724542,I,Imputed value,base year is 2015
January 2002,Consumer Price Indices,887,Yemen,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,20.060263,I,Imputed value,base year is 2015
February 2002,Consumer Price Indices,887,Yemen,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,20.395985,I,Imputed value,base year is 2015
March 2002,Consumer Price Indices,887,Yemen,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,20.731706,I,Imputed value,base year is 2015
April 2002,Consumer Price Indices,887,Yemen,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,21.067427,I,Imputed value,base year is 2015
May 2002,Consumer Price Indices,887,Yemen,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,21.403149,I,Imputed value,base year is 2015
June 2002,Consumer Price Indices,887,Yemen,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,21.73887,I,Imputed value,base year is 2015
July 2002,Consumer Price Indices,887,Yemen,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,22.074592,I,Imputed value,base year is 2015
August 2002,Consumer Price Indices,887,Yemen,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,22.410313,I,Imputed value,base year is 2015
September 2002,Consumer Price Indices,887,Yemen,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,22.746034,I,Imputed value,base year is 2015
October 2002,Consumer Price Indices,887,Yemen,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,23.081756,I,Imputed value,base year is 2015
November 2002,Consumer Price Indices,887,Yemen,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,23.417477,I,Imputed value,base year is 2015
December 2002,Consumer Price Indices,887,Yemen,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,23.753198,I,Imputed value,base year is 2015
January 2003,Consumer Price Indices,887,Yemen,2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,24.08892,I,Imputed value,base year is 2015
February 2003,Consumer Price Indices,887,Yemen,2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,24.424641,I,Imputed value,base year is 2015
March 2003,Consumer Price Indices,887,Yemen,2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,24.760363,I,Imputed value,base year is 2015
April 2003,Consumer Price Indices,887,Yemen,2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,25.096084,I,Imputed value,base year is 2015
May 2003,Consumer Price Indices,887,Yemen,2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,25.431805,I,Imputed value,base year is 2015
June 2003,Consumer Price Indices,887,Yemen,2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,25.767527,I,Imputed value,base year is 2015
July 2003,Consumer Price Indices,887,Yemen,2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,26.103248,I,Imputed value,base year is 2015
August 2003,Consumer Price Indices,887,Yemen,2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,26.438969,I,Imputed value,base year is 2015
September 2003,Consumer Price Indices,887,Yemen,2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,26.774691,I,Imputed value,base year is 2015
October 2003,Consumer Price Indices,887,Yemen,2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,27.110412,I,Imputed value,base year is 2015
November 2003,Consumer Price Indices,887,Yemen,2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,27.446134,I,Imputed value,base year is 2015
December 2003,Consumer Price Indices,887,Yemen,2003,2003,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,27.781855,I,Imputed value,base year is 2015
January 2004,Consumer Price Indices,887,Yemen,2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,28.117576,I,Imputed value,base year is 2015
February 2004,Consumer Price Indices,887,Yemen,2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,28.453298,I,Imputed value,base year is 2015
March 2004,Consumer Price Indices,887,Yemen,2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,28.789019,I,Imputed value,base year is 2015
April 2004,Consumer Price Indices,887,Yemen,2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,29.12474,I,Imputed value,base year is 2015
May 2004,Consumer Price Indices,887,Yemen,2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,29.460462,I,Imputed value,base year is 2015
June 2004,Consumer Price Indices,887,Yemen,2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,29.796183,I,Imputed value,base year is 2015
July 2004,Consumer Price Indices,887,Yemen,2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,30.131905,I,Imputed value,base year is 2015
August 2004,Consumer Price Indices,887,Yemen,2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,30.467626,I,Imputed value,base year is 2015
September 2004,Consumer Price Indices,887,Yemen,2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,30.803347,I,Imputed value,base year is 2015
October 2004,Consumer Price Indices,887,Yemen,2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,31.139069,I,Imputed value,base year is 2015
November 2004,Consumer Price Indices,887,Yemen,2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,31.47479,I,Imputed value,base year is 2015
December 2004,Consumer Price Indices,887,Yemen,2004,2004,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,31.810511,I,Imputed value,base year is 2015
January 2005,Consumer Price Indices,887,Yemen,2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,32.147457,A,Official figure,base year is 2015
February 2005,Consumer Price Indices,887,Yemen,2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,31.932156,A,Official figure,base year is 2015
March 2005,Consumer Price Indices,887,Yemen,2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,32.186601,A,Official figure,base year is 2015
April 2005,Consumer Price Indices,887,Yemen,2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,32.512684,A,Official figure,base year is 2015
May 2005,Consumer Price Indices,887,Yemen,2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,32.871909,A,Official figure,base year is 2015
June 2005,Consumer Price Indices,887,Yemen,2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,32.3463,A,Official figure,base year is 2015
July 2005,Consumer Price Indices,887,Yemen,2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,33.203273,A,Official figure,base year is 2015
August 2005,Consumer Price Indices,887,Yemen,2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,34.312722,A,Official figure,base year is 2015
September 2005,Consumer Price Indices,887,Yemen,2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,36.019971,A,Official figure,base year is 2015
October 2005,Consumer Price Indices,887,Yemen,2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,37.279551,A,Official figure,base year is 2015
November 2005,Consumer Price Indices,887,Yemen,2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,36.977202,A,Official figure,base year is 2015
December 2005,Consumer Price Indices,887,Yemen,2005,2005,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,36.705365,A,Official figure,base year is 2015
