Year,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
2000-2002,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20002002,2000-2002,%,26.7,E,Estimated value,
2001-2003,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20012003,2001-2003,%,27.6,E,Estimated value,
2002-2004,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20022004,2002-2004,%,28,E,Estimated value,
2003-2005,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20032005,2003-2005,%,28.3,E,Estimated value,
2004-2006,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20042006,2004-2006,%,27.8,E,Estimated value,
2005-2007,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20052007,2005-2007,%,26.6,E,Estimated value,
2006-2008,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20062008,2006-2008,%,26.1,E,Estimated value,
2007-2009,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20072009,2007-2009,%,26,E,Estimated value,
2008-2010,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20082010,2008-2010,%,24.2,E,Estimated value,
2009-2011,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20092011,2009-2011,%,27.1,E,Estimated value,
2010-2012,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20102012,2010-2012,%,29.1,E,Estimated value,
2011-2013,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20112013,2011-2013,%,33.3,E,Estimated value,
2012-2014,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20122014,2012-2014,%,34.3,E,Estimated value,
2013-2015,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20132015,2013-2015,%,38.1,E,Estimated value,
2014-2016,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20142016,2014-2016,%,43.4,E,Estimated value,
2015-2017,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20152017,2015-2017,%,46.1,E,Estimated value,
2016-2018,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20162018,2016-2018,%,46.6,E,Estimated value,
2017-2019,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20172019,2017-2019,%,44.7,E,Estimated value,
2018-2020,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20182020,2018-2020,%,42.8,E,Estimated value,
2019-2021,Suite of Food Security Indicators,887,Yemen,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20192021,2019-2021,%,41.4,E,Estimated value,
