Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1371,"Almonds, in shell",2013,2013,tonnes,3,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1371,"Almonds, in shell",2015,2015,tonnes,0.5,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1371,"Almonds, in shell",2018,2018,tonnes,1.7,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1371,"Almonds, in shell",2019,2019,tonnes,56.03,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,21422,"Almonds, shelled",2013,2013,tonnes,3,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,21422,"Almonds, shelled",2014,2014,tonnes,0.07,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,21422,"Almonds, shelled",2018,2018,tonnes,2,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,21422,"Almonds, shelled",2019,2019,tonnes,54.82,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,2007,tonnes,74,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,21429.07,"Coconuts, desiccated",2018,2018,tonnes,0.51,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,F1293,Crude organic material n.e.c.,2009,2009,tonnes,0,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,F1293,Crude organic material n.e.c.,2011,2011,tonnes,24,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,F1293,Crude organic material n.e.c.,2012,2012,tonnes,0,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,F1293,Crude organic material n.e.c.,2013,2013,tonnes,0,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2012,2012,tonnes,46,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2017,2017,tonnes,24,T,Unofficial figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2018,2018,tonnes,14.6,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2019,2019,tonnes,130.68,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1651,"Pepper (Piper spp.), raw",2007,2007,tonnes,3,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1375,"Pistachios, in shell",2019,2019,tonnes,4.7,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,21411,Raisins,2018,2018,tonnes,5.1,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,21411,Raisins,2019,2019,tonnes,74.12,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,23210.04,Sugar and syrups n.e.c.,2008,2008,tonnes,0,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,23670.01,Sugar confectionery,2015,2015,tonnes,19,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,23670.01,Sugar confectionery,2019,2019,tonnes,6.2,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1990.01,"Vegetable products, fresh or dry n.e.c.",2011,2011,tonnes,22,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1990.01,"Vegetable products, fresh or dry n.e.c.",2012,2012,tonnes,111,A,Official figure
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5610,Import Quantity,1990.01,"Vegetable products, fresh or dry n.e.c.",2013,2013,tonnes,92,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,F0020,Bread,2018,2018,tonnes,1.86,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,22251.01,Cheese from whole cow milk,2018,2018,tonnes,3.76,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,F0666,Chocolate products nes,2017,2017,tonnes,35.48,T,Unofficial figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,F0666,Chocolate products nes,2018,2018,tonnes,42.38,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,23490.01,"Communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",2018,2018,tonnes,10.28,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,23490.01,"Communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",2019,2019,tonnes,34.92,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,F1232,Food preparations n.e.c.,2011,2011,tonnes,2,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,F0623,Fruit prepared n.e.c.,2012,2012,tonnes,3,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,F0022,Pastry,2017,2017,tonnes,116.85,T,Unofficial figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,F0022,Pastry,2018,2018,tonnes,39.99,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,F0022,Pastry,2019,2019,tonnes,19.44,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,23520,Refined sugar,2011,2011,tonnes,70,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,23520,Refined sugar,2019,2019,tonnes,10032,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5610,Import Quantity,2413,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",2004,2004,tonnes,0,A,Official figure
TM,Detailed trade matrix,887,Yemen,24,Angola,5610,Import Quantity,F1293,Crude organic material n.e.c.,2002,2002,tonnes,1,A,Official figure
TM,Detailed trade matrix,887,Yemen,28,Antigua and Barbuda,5610,Import Quantity,F0022,Pastry,2006,2006,tonnes,15,A,Official figure
TM,Detailed trade matrix,887,Yemen,28,Antigua and Barbuda,5610,Import Quantity,23670.01,Sugar confectionery,2006,2006,tonnes,17,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,1341,Apples,2008,2008,tonnes,1,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,1341,Apples,2014,2014,tonnes,37.52,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,1341,Apples,2015,2015,tonnes,0.95,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,1311,Avocados,2005,2005,tonnes,169,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,1311,Avocados,2006,2006,tonnes,114,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,1311,Avocados,2019,2019,tonnes,3,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,1701,"Beans, dry",2019,2019,tonnes,47.92,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,39120.04,Bran of maize,2018,2018,tonnes,80,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,23140.03,Breakfast cereals,2015,2015,tonnes,3.4,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,22241.01,Butter of cow milk,2013,2013,tonnes,34,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,22241.01,Butter of cow milk,2014,2014,tonnes,61.5,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,22241.01,Butter of cow milk,2017,2017,tonnes,25,T,Unofficial figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,22241.01,Butter of cow milk,2018,2018,tonnes,25,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2002,2002,tonnes,57053,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2003,2003,tonnes,8727,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2004,2004,tonnes,28648,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2005,2005,tonnes,48518,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2006,2006,tonnes,37333,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2008,2008,tonnes,59566,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2009,2009,tonnes,112704,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2013,2013,tonnes,102125,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2014,2014,tonnes,239637,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2015,2015,tonnes,84272,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2016,2016,tonnes,175775,T,Unofficial figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2017,2017,tonnes,194291,T,Unofficial figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2018,2018,tonnes,98069,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2019,2019,tonnes,72210,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.03,Cake of  soya beans,2020,2020,tonnes,280747,T,Unofficial figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.05,Cake of copra,2019,2019,tonnes,7,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.15,Cake of cottonseed,2009,2009,tonnes,20,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.04,Cake of groundnuts,2004,2004,tonnes,3550,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5610,Import Quantity,21910.04,Cake of groundnuts,2005,2005,tonnes,67,A,Official figure
