Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2010","2010","kcal/capita/day","982.26","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2011","2011","kcal/capita/day","986.37","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2012","2012","kcal/capita/day","983.8","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2013","2013","kcal/capita/day","975.16","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2014","2014","kcal/capita/day","947.93","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2015","2015","kcal/capita/day","948.28","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2016","2016","kcal/capita/day","903.22","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2017","2017","kcal/capita/day","945.03","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2018","2018","kcal/capita/day","949.05","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2019","2019","kcal/capita/day","941.73","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2020","2020","kcal/capita/day","981.79","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2010","2010","kcal/capita/day","159.04","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2011","2011","kcal/capita/day","168.32","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2012","2012","kcal/capita/day","173","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2013","2013","kcal/capita/day","167.69","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2014","2014","kcal/capita/day","135.97","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2015","2015","kcal/capita/day","145.93","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2016","2016","kcal/capita/day","148.71","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2017","2017","kcal/capita/day","163.59","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2018","2018","kcal/capita/day","186.88","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2019","2019","kcal/capita/day","205.11","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2020","2020","kcal/capita/day","212.85","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2513","Barley and products","2010","2010","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2513","Barley and products","2011","2011","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2513","Barley and products","2012","2012","kcal/capita/day","0","E","Estimated value"
