Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","1999","1999","1000 ha","1668","A","Official figure"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2000","2000","1000 ha","1669","A","Official figure"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2001","2001","1000 ha","1595","I","Imputed value"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2002","2002","1000 ha","1656","I","Imputed value"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2003","2003","1000 ha","1495","I","Imputed value"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2004","2004","1000 ha","1557","I","Imputed value"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2005","2005","1000 ha","1523","I","Imputed value"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2006","2006","1000 ha","1627","I","Imputed value"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2007","2007","1000 ha","1627","I","Imputed value"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2008","2008","1000 ha","1517","I","Imputed value"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2009","2009","1000 ha","1452","I","Imputed value"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2010","2010","1000 ha","1579","A","Official figure"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2011","2011","1000 ha","1452","A","Official figure"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2012","2012","1000 ha","1501","A","Official figure"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2013","2013","1000 ha","1499","A","Official figure"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2014","2014","1000 ha","1451.6","A","Official figure"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2015","2015","1000 ha","1432.6","A","Official figure"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2016","2016","1000 ha","1385.8","A","Official figure"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2017","2017","1000 ha","1452","A","Official figure"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2018","2018","1000 ha","1452","A","Official figure"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2019","2019","1000 ha","1452","A","Official figure"
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2020","2020","1000 ha","1452","I","Imputed value"
