Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,887,Yemen,4,Afghanistan,5910,Export Quantity,02910,Natural honey,2015,2015,tonnes,0.02,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,F0020,Bread,2012,2012,tonnes,18.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,F1293,Crude organic material n.e.c.,2004,2004,tonnes,40.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,F1293,Crude organic material n.e.c.,2005,2005,tonnes,0.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,F1293,Crude organic material n.e.c.,2006,2006,tonnes,0.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,F1293,Crude organic material n.e.c.,2011,2011,tonnes,60.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,F1293,Crude organic material n.e.c.,2012,2012,tonnes,0.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,F1293,Crude organic material n.e.c.,2013,2013,tonnes,0.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,22241.02,Ghee from cow milk,2012,2012,tonnes,33.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,02910,Natural honey,2012,2012,tonnes,0.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,F0022,Pastry,2008,2008,tonnes,301.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,F0022,Pastry,2009,2009,tonnes,21.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,F0022,Pastry,2011,2011,tonnes,102.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,F0022,Pastry,2012,2012,tonnes,17.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,F0022,Pastry,2014,2014,tonnes,28.7,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,23670.01,Sugar confectionery,2011,2011,tonnes,47.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,12,Algeria,5910,Export Quantity,22211,Whole milk powder,2005,2005,tonnes,107.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,24,Angola,5910,Export Quantity,F0666,Chocolate products nes,2005,2005,tonnes,40.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,24,Angola,5910,Export Quantity,21439.90,Juice of fruits n.e.c.,2004,2004,tonnes,20.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,24,Angola,5910,Export Quantity,F0022,Pastry,2005,2005,tonnes,68.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,24,Angola,5910,Export Quantity,F0022,Pastry,2011,2011,tonnes,208.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,24,Angola,5910,Export Quantity,F0022,Pastry,2012,2012,tonnes,155.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,24,Angola,5910,Export Quantity,F0022,Pastry,2013,2013,tonnes,44.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5910,Export Quantity,21910.03,Cake of  soya beans,2015,2015,tonnes,244.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5910,Export Quantity,21910.90,"Cake, oilseeds nes",2019,2019,tonnes,130.0,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5910,Export Quantity,0112,Maize (corn),2014,2014,tonnes,2278.44,I,Imputed value
TM,Detailed trade matrix,887,Yemen,32,Argentina,5910,Export Quantity,0112,Maize (corn),2015,2015,tonnes,4532.5,A,Official figure
TM,Detailed trade matrix,887,Yemen,32,Argentina,5910,Export Quantity,0112,Maize (corn),2018,2018,tonnes,1965.86,A,Official figure
