yearMonth,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
January 2001,Consumer Price Indices,887,Yemen,2001,2001,23014,Food price inflation,7001,January,%,33.563885,E,Estimated value,
February 2001,Consumer Price Indices,887,Yemen,2001,2001,23014,Food price inflation,7002,February,%,32.65065,E,Estimated value,
March 2001,Consumer Price Indices,887,Yemen,2001,2001,23014,Food price inflation,7003,March,%,31.785794,E,Estimated value,
April 2001,Consumer Price Indices,887,Yemen,2001,2001,23014,Food price inflation,7004,April,%,30.965573,E,Estimated value,
May 2001,Consumer Price Indices,887,Yemen,2001,2001,23014,Food price inflation,7005,May,%,30.186618,E,Estimated value,
June 2001,Consumer Price Indices,887,Yemen,2001,2001,23014,Food price inflation,7006,June,%,29.445892,E,Estimated value,
July 2001,Consumer Price Indices,887,Yemen,2001,2001,23014,Food price inflation,7007,July,%,28.740647,E,Estimated value,
August 2001,Consumer Price Indices,887,Yemen,2001,2001,23014,Food price inflation,7008,August,%,28.068393,E,Estimated value,
September 2001,Consumer Price Indices,887,Yemen,2001,2001,23014,Food price inflation,7009,September,%,27.42687,E,Estimated value,
October 2001,Consumer Price Indices,887,Yemen,2001,2001,23014,Food price inflation,7010,October,%,26.814016,E,Estimated value,
November 2001,Consumer Price Indices,887,Yemen,2001,2001,23014,Food price inflation,7011,November,%,26.227952,E,Estimated value,
December 2001,Consumer Price Indices,887,Yemen,2001,2001,23014,Food price inflation,7012,December,%,25.666959,E,Estimated value,
January 2002,Consumer Price Indices,887,Yemen,2002,2002,23014,Food price inflation,7001,January,%,25.129462,E,Estimated value,
February 2002,Consumer Price Indices,887,Yemen,2002,2002,23014,Food price inflation,7002,February,%,24.614014,E,Estimated value,
March 2002,Consumer Price Indices,887,Yemen,2002,2002,23014,Food price inflation,7003,March,%,24.119287,E,Estimated value,
April 2002,Consumer Price Indices,887,Yemen,2002,2002,23014,Food price inflation,7004,April,%,23.644056,E,Estimated value,
May 2002,Consumer Price Indices,887,Yemen,2002,2002,23014,Food price inflation,7005,May,%,23.18719,E,Estimated value,
June 2002,Consumer Price Indices,887,Yemen,2002,2002,23014,Food price inflation,7006,June,%,22.747645,E,Estimated value,
July 2002,Consumer Price Indices,887,Yemen,2002,2002,23014,Food price inflation,7007,July,%,22.324454,E,Estimated value,
August 2002,Consumer Price Indices,887,Yemen,2002,2002,23014,Food price inflation,7008,August,%,21.916722,E,Estimated value,
September 2002,Consumer Price Indices,887,Yemen,2002,2002,23014,Food price inflation,7009,September,%,21.523616,E,Estimated value,
October 2002,Consumer Price Indices,887,Yemen,2002,2002,23014,Food price inflation,7010,October,%,21.144363,E,Estimated value,
November 2002,Consumer Price Indices,887,Yemen,2002,2002,23014,Food price inflation,7011,November,%,20.778244,E,Estimated value,
December 2002,Consumer Price Indices,887,Yemen,2002,2002,23014,Food price inflation,7012,December,%,20.424588,E,Estimated value,
January 2003,Consumer Price Indices,887,Yemen,2003,2003,23014,Food price inflation,7001,January,%,20.08277,E,Estimated value,
February 2003,Consumer Price Indices,887,Yemen,2003,2003,23014,Food price inflation,7002,February,%,19.752204,E,Estimated value,
March 2003,Consumer Price Indices,887,Yemen,2003,2003,23014,Food price inflation,7003,March,%,19.432344,E,Estimated value,
April 2003,Consumer Price Indices,887,Yemen,2003,2003,23014,Food price inflation,7004,April,%,19.122679,E,Estimated value,
May 2003,Consumer Price Indices,887,Yemen,2003,2003,23014,Food price inflation,7005,May,%,18.822728,E,Estimated value,
June 2003,Consumer Price Indices,887,Yemen,2003,2003,23014,Food price inflation,7006,June,%,18.532042,E,Estimated value,
July 2003,Consumer Price Indices,887,Yemen,2003,2003,23014,Food price inflation,7007,July,%,18.250197,E,Estimated value,
August 2003,Consumer Price Indices,887,Yemen,2003,2003,23014,Food price inflation,7008,August,%,17.976797,E,Estimated value,
