Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2012","2012","tonnes","4111265","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2013","2013","tonnes","3849871","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2014","2014","tonnes","3531865","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2015","2015","tonnes","3492217.69","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2016","2016","tonnes","3471832.73","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2017","2017","tonnes","3453009.07","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2018","2018","tonnes","3466532.78","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2019","2019","tonnes","3480056.5","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2008","2008","tonnes","761869.67","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2009","2009","tonnes","677444","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2010","2010","tonnes","661080.56","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2011","2011","tonnes","709830.53","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2012","2012","tonnes","788317","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2013","2013","tonnes","828863","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2014","2014","tonnes","700767","A","Official figure"
"RFB","Fertilizers by Product","840","United States of America","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2015","2015","tonnes","580057.29","A","Official figure"
