source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,yield,CV (%)
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2022,ANNUAL,0,0,YEAR,,2023-02-24 15:00:00.000,67.5,1.1
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2021,ANNUAL,0,0,YEAR,,2023-02-24 15:00:00.000,66.4,3.3
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2020,ANNUAL,0,0,YEAR,,2022-02-24 15:00:14.000,64.8,2.7
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2019,ANNUAL,0,0,YEAR,,2020-02-20 15:00:33.000,57.4,
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2018,ANNUAL,0,0,YEAR,,2020-02-20 15:00:33.000,68.5,
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2017,ANNUAL,0,0,YEAR,,2018-02-22 15:08:35.000,59.1,
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2016,ANNUAL,0,0,YEAR,,2017-02-23 15:00:08.000,64.2,
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2015,ANNUAL,0,0,YEAR,,2016-12-02 09:27:59.000,60.2,
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2014,ANNUAL,0,0,YEAR,,2016-02-18 15:04:50.000,59.9,
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2013,ANNUAL,0,0,YEAR,,2015-02-19 15:38:52.000,56.3,
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2012,ANNUAL,0,0,YEAR,,2015-06-03 15:08:31.000,55.0,
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2011,ANNUAL,0,0,YEAR,,2015-06-03 15:08:31.000,58.1,
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,11.0,11,BUREAU,,,0,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2010,ANNUAL,0,0,YEAR,,2015-06-03 15:08:31.000,55.0,
