,Item Code (CPC),Item,Category Code (CPC),Category,Year,Partner Countries,Partner Country Code (M49),tonnes-Import Quantity,1000 US$-Import Value,tonnes-Export Quantity,1000 US$-Export Value,Import 1000 US$ per tonne,Export 1000 US$ per tonne,tonnes-Net Quantity,tonnes-Import Quantity/cap,tonnes-Export Quantity/cap,1000 US$-Import Value/cap,1000 US$-Export Value/cap
0,0111,Wheat,011,Cereals,1998,Argentina,32,79390.0,5968.0,0.0,0.0,13.302613941018766,NULL,79390.0,0.004508711968497739,0.0,0.0003389342867866798,0.0
1,0111,Wheat,011,Cereals,1998,Australia,36,608486.0,47524.0,0.0,0.0,12.803762309569901,NULL,608486.0,0.03455709926770771,0.0,0.002698980067903849,0.0
2,0111,Wheat,011,Cereals,1998,Belgium-Luxembourg,58,9831.0,663.0,0.0,0.0,14.828054298642535,NULL,9831.0,0.0005583215438002428,0.0,3.7653054983171696e-05,0.0
3,0111,Wheat,011,Cereals,1998,Brazil,76,50770.0,3308.0,0.0,0.0,15.34764207980653,NULL,50770.0,0.0028833266990884268,0.0,0.000187867731348917,0.0
4,0111,Wheat,011,Cereals,1998,France,250,25839.0,1727.0,0.0,0.0,14.961783439490446,NULL,25839.0,0.0014674468894572753,0.0,9.80796771582768e-05,0.0
5,0111,Wheat,011,Cereals,1998,Greece,300,292.0,28.0,0.0,0.0,10.428571428571429,NULL,292.0,1.6583245935273205e-05,0.0,1.5901742677659238e-06,0.0
6,0111,Wheat,011,Cereals,1998,Indonesia,360,4000.0,242.0,0.0,0.0,16.52892561983471,NULL,4000.0,0.00022716775253798913,0.0,1.3743649028548342e-05,0.0
7,0111,Wheat,011,Cereals,1998,Netherlands,528,164.0,10.0,0.0,0.0,16.4,NULL,164.0,9.313877854057554e-06,0.0,5.679193813449728e-07,0.0
8,0111,Wheat,011,Cereals,1998,Saudi Arabia,682,5.0,0.0,20.0,4.0,inf,5.0,-15.0,2.839596906724864e-07,1.1358387626899456e-06,0.0,2.2716775253798913e-07
9,0111,Wheat,011,Cereals,1998,Somalia,706,0.0,0.0,125.0,18.0,NULL,6.944444444444445,-125.0,0.0,7.09899226681216e-06,0.0,1.022254886420951e-06
10,0111,Wheat,011,Cereals,1998,South Africa,710,8148.0,882.0,0.0,0.0,9.238095238095237,NULL,8148.0,0.00046274071191988383,0.0,5.00904894346266e-05,0.0
11,0111,Wheat,011,Cereals,1998,United Kingdom of Great Britain and Northern Ireland,826,1902.0,313.0,0.0,0.0,6.07667731629393,NULL,1902.0,0.00010801826633181383,0.0,1.777587663609765e-05,0.0
12,0111,Wheat,011,Cereals,1998,United States of America,840,487035.0,36902.0,0.0,0.0,13.198065145520568,NULL,487035.0,0.02765966158933488,0.0,0.0020957361010392186,0.0
13,0111,Wheat,011,Cereals,2002,Argentina,32,18.0,2.0,0.0,0.0,9.0,NULL,18.0,9.155341890221042e-07,0.0,1.0172602100245602e-07,0.0
14,0111,Wheat,011,Cereals,2002,Australia,36,190681.0,24701.0,0.0,0.0,7.719566009473301,NULL,190681.0,0.009698609705384659,0.0,0.0012563672223908332,0.0
15,0111,Wheat,011,Cereals,2002,Bulgaria,100,12156.0,1472.0,0.0,0.0,8.258152173913043,NULL,12156.0,0.0006182907556529277,0.0,7.487035145780763e-05,0.0
16,0111,Wheat,011,Cereals,2002,Canada,124,576.0,138.0,0.0,0.0,4.173913043478261,NULL,576.0,2.9297094048707333e-05,0.0,7.019095449169465e-06,0.0
17,0111,Wheat,011,Cereals,2002,Djibouti,262,910.0,122.0,15.0,3.0,7.459016393442623,5.0,895.0,4.628533955611749e-05,7.629451575184202e-07,6.205287281149818e-06,1.5258903150368404e-07
18,0111,Wheat,011,Cereals,2002,France,250,223548.0,28737.0,0.0,0.0,7.779100114834534,NULL,223548.0,0.01137032427152852,0.0,0.0014616503327737893,0.0
19,0111,Wheat,011,Cereals,2002,India,356,282086.0,31589.0,0.0,0.0,8.929880654658268,NULL,282086.0,0.014347743180249405,0.0,0.0016067116387232917,0.0
20,0111,Wheat,011,Cereals,2002,Iran (Islamic Republic of),364,50.0,7.0,0.0,0.0,7.142857142857143,NULL,50.0,2.5431505250614006e-06,0.0,3.560410735085961e-07,0.0
21,0111,Wheat,011,Cereals,2002,Italy,380,251.0,102.0,0.0,0.0,2.4607843137254903,NULL,251.0,1.2766615635808231e-05,0.0,5.188027071125257e-06,0.0
22,0111,Wheat,011,Cereals,2002,Oman,512,7363.0,1171.0,0.0,0.0,6.287788215200683,NULL,7363.0,0.00037450434632054186,0.0,5.9560585296938004e-05,0.0
23,0111,Wheat,011,Cereals,2002,Pakistan,586,25863.0,3085.0,0.0,0.0,8.383468395461913,NULL,25863.0,0.00131547004059326,0.0,0.0001569123873962884,0.0
24,0111,Wheat,011,Cereals,2002,Saudi Arabia,682,9.0,1.0,2207.0,533.0,9.0,4.140712945590995,-2198.0,4.577670945110521e-07,0.00011225466417621022,5.086301050122801e-08,2.710998459715453e-05
25,0111,Wheat,011,Cereals,2002,Singapore,702,31800.0,4012.0,0.0,0.0,7.9262213359920235,NULL,31800.0,0.0016174437339390507,0.0,0.00020406239813092677,0.0
26,0111,Wheat,011,Cereals,2002,Spain,724,39505.0,5028.0,0.0,0.0,7.857000795544948,NULL,39505.0,0.0020093432298510126,0.0,0.00025573921680017444,0.0
27,0111,Wheat,011,Cereals,2002,Switzerland,756,31500.0,3416.0,0.0,0.0,9.221311475409836,NULL,31500.0,0.0016021848307886824,0.0,0.00017374804387219488,0.0
28,0111,Wheat,011,Cereals,2002,United Arab Emirates,784,71249.0,8386.0,165.0,23.0,8.49618411638445,7.173913043478261,71084.0,0.0036239386352019945,8.392396732702622e-06,0.0004265372060632981,1.1698492415282443e-06
29,0111,Wheat,011,Cereals,2002,United States of America,840,348433.0,44738.0,0.0,0.0,7.7883007733917475,NULL,348433.0,0.01772235133797438,0.0,0.0022755093638039386,0.0
30,0111,Wheat,011,Cereals,2003,Australia,36,161683.0,20599.0,0.0,0.0,7.849070343220545,NULL,161683.0,0.008008549691341224,0.0,0.0010203182467664372,0.0
31,0111,Wheat,011,Cereals,2003,Democratic People's Republic of Korea,408,20125.0,2248.0,0.0,0.0,8.952402135231317,NULL,20125.0,0.0009968398813619374,0.0,0.00011134887221374585,0.0
32,0111,Wheat,011,Cereals,2003,Ecuador,218,200.0,31.0,0.0,0.0,6.451612903225806,NULL,200.0,9.906483293037886e-06,0.0,1.5355049104208724e-06,0.0
33,0111,Wheat,011,Cereals,2003,France,250,291735.0,38394.0,0.0,0.0,7.59845288326301,NULL,291735.0,0.01445033951747204,0.0,0.0019017475977644832,0.0
34,0111,Wheat,011,Cereals,2003,India,356,523554.0,56290.0,0.0,0.0,9.301012613252798,NULL,523554.0,0.02593289477001579,0.0,0.0027881797228255134,0.0
35,0111,Wheat,011,Cereals,2003,Italy,380,33800.0,4390.0,0.0,0.0,7.699316628701594,NULL,33800.0,0.001674195676523403,0.0,0.0002174473082821816,0.0
36,0111,Wheat,011,Cereals,2003,Malaysia,458,30250.0,3935.0,0.0,0.0,7.687420584498094,NULL,30250.0,0.0014983555980719804,0.0,0.00019491005879052043,0.0
37,0111,Wheat,011,Cereals,2003,Oman,512,3262.0,411.0,2.0,1.0,7.9367396593673964,2.0,3260.0,0.00016157474250944794,9.906483293037887e-08,2.035782316719286e-05,4.953241646518943e-08
38,0111,Wheat,011,Cereals,2003,Poland,616,22500.0,2830.0,0.0,0.0,7.950530035335689,NULL,22500.0,0.0011144793704667623,0.0,0.0001401767385964861,0.0
39,0111,Wheat,011,Cereals,2003,Russian Federation,643,31410.0,4410.0,0.0,0.0,7.122448979591836,NULL,31410.0,0.0015558132011716,0.0,0.0002184379566114854,0.0
40,0111,Wheat,011,Cereals,2003,Saudi Arabia,682,262.0,32.0,1905.0,421.0,8.1875,4.524940617577197,-1643.0,1.2977493113879632e-05,9.435925336618587e-05,1.5850373268860618e-06,2.085314733184475e-05
41,0111,Wheat,011,Cereals,2003,Switzerland,756,3318.0,479.0,0.0,0.0,6.926931106471816,NULL,3318.0,0.00016434855783149856,0.0,2.372602748682574e-05,0.0
42,0111,Wheat,011,Cereals,2003,Syrian Arab Republic,760,3324.0,385.0,0.0,0.0,8.633766233766234,NULL,3324.0,0.0001646457523302897,0.0,1.9069980339097932e-05,0.0
43,0111,Wheat,011,Cereals,2003,United Arab Emirates,784,52543.0,6515.0,90.0,17.0,8.064927091327705,5.294117647058823,52453.0,0.0026025817583304484,4.4579174818670495e-06,0.00032270369327070915,8.420510799082204e-07
44,0111,Wheat,011,Cereals,2003,United States of America,840,297190.0,37838.0,0.0,0.0,7.8542734816850786,NULL,297190.0,0.014720538849289649,0.0,0.0018742075742098378,0.0
45,0111,Wheat,011,Cereals,2004,Argentina,32,24500.0,5443.0,0.0,0.0,4.5011941943781,NULL,24500.0,0.0011816678841865152,0.0,0.0002625231956582532,0.0
46,0111,Wheat,011,Cereals,2004,Australia,36,393064.0,50880.0,0.0,0.0,7.725314465408805,NULL,393064.0,0.018958004295097485,0.0,0.002454010691731016,0.0
47,0111,Wheat,011,Cereals,2004,Brazil,76,31609.0,5969.0,0.0,0.0,5.295526888926118,NULL,31609.0,0.0015245444959694513,0.0,0.00028789288166160444,0.0
48,0111,Wheat,011,Cereals,2004,Djibouti,262,133.0,21.0,0.0,0.0,6.333333333333333,NULL,133.0,6.414768514155369e-06,0.0,1.0128581864455845e-06,0.0
