Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1981","1981","ha","120","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1982","1982","ha","125","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1983","1983","ha","125","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1984","1984","ha","125","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1985","1985","ha","129","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1986","1986","ha","133","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1987","1987","ha","137","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1988","1988","ha","135","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1989","1989","ha","135","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1990","1990","ha","176","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1991","1991","ha","176","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1992","1992","ha","176","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1993","1993","ha","176","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1994","1994","ha","176","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1995","1995","ha","182","I","Imputed value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1996","1996","ha","184","I","Imputed value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1997","1997","ha","186","I","Imputed value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1998","1998","ha","180","E","Estimated value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","1999","1999","ha","191","I","Imputed value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2000","2000","ha","194","I","Imputed value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2001","2001","ha","199","I","Imputed value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2002","2002","ha","202","I","Imputed value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2003","2003","ha","202","I","Imputed value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2004","2004","ha","207","I","Imputed value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2005","2005","ha","204","I","Imputed value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2006","2006","ha","205","I","Imputed value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2007","2007","ha","250","E","Estimated value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2008","2008","ha","250","E","Estimated value"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2009","2009","ha","5285","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2010","2010","ha","5386","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2011","2011","ha","5432","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2012","2012","ha","5566","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2013","2013","ha","5677","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2014","2014","ha","5742","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2015","2015","ha","5857","A","Official figure"
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","01371","Almonds, in shell","2016","2016","ha","5864","A","Official figure"
