,Item Code (CPC),Item,Category Code (CPC),Category,Year,ha-Area harvested,hg/ha-Yield,tonnes-Production,tonnes-Production/cap
0,0111,Wheat,011,Cereals,1961,26000.0,13077.0,34000.0,0.006021250054014155
1,0111,Wheat,011,Cereals,1962,27000.0,12963.0,35000.0,0.00608337420781432
2,0111,Wheat,011,Cereals,1963,28500.0,12982.0,37000.0,0.006313780918969106
3,0111,Wheat,011,Cereals,1964,32000.0,12969.0,41500.0,0.0069469984195997085
4,0111,Wheat,011,Cereals,1965,33300.0,13393.0,44600.0,0.007314715469048749
5,0111,Wheat,011,Cereals,1966,33700.0,13027.0,43900.0,0.007048325179860735
6,0111,Wheat,011,Cereals,1967,34700.0,13343.0,46300.0,0.007270712658609105
7,0111,Wheat,011,Cereals,1968,34000.0,12059.0,41000.0,0.006292296510200273
8,0111,Wheat,011,Cereals,1969,32118.0,11190.0,35940.0,0.005385091746590229
9,0111,Wheat,011,Cereals,1970,42300.0,9102.0,38500.0,0.0056256883248848154
10,0111,Wheat,011,Cereals,1971,45406.0,11386.0,51700.0,0.007360272976437446
11,0111,Wheat,011,Cereals,1972,44000.0,10227.0,45000.0,0.006236284504842475
12,0111,Wheat,011,Cereals,1973,68713.0,11071.0,76070.0,0.010255150628170106
13,0111,Wheat,011,Cereals,1974,91094.0,11195.0,101984.0,0.013365853274951213
14,0111,Wheat,011,Cereals,1975,71655.0,12300.0,88134.0,0.011219176193665279
15,0111,Wheat,011,Cereals,1976,72788.0,11770.0,85674.0,0.010583589716349073
16,0111,Wheat,011,Cereals,1977,79326.0,11135.0,88332.0,0.010580986375237146
17,0111,Wheat,011,Cereals,1978,75000.0,7867.0,59000.0,0.006848280750724786
18,0111,Wheat,011,Cereals,1979,81000.0,10864.0,88000.0,0.009887727105922952
19,0111,Wheat,011,Cereals,1980,73000.0,10000.0,73000.0,0.007930525985074533
20,0111,Wheat,011,Cereals,1981,76381.0,11074.0,84581.0,0.008876069683354313
21,0111,Wheat,011,Cereals,1982,71756.0,11481.0,82384.0,0.00834497196800905
22,0111,Wheat,011,Cereals,1983,71756.0,6991.0,50162.0,0.004899881229504666
23,0111,Wheat,011,Cereals,1984,68337.0,7646.0,52252.0,0.004917517333232195
24,0111,Wheat,011,Cereals,1985,71000.0,10282.0,73000.0,0.006614165295057914
25,0111,Wheat,011,Cereals,1986,71356.0,13378.0,95462.0,0.008326062209191375
26,0111,Wheat,011,Cereals,1987,74102.0,15185.0,112527.0,0.009443699806714966
27,0111,Wheat,011,Cereals,1988,82132.0,17344.0,142452.0,0.011499900139159351
28,0111,Wheat,011,Cereals,1989,94420.0,17218.0,162572.0,0.01262953916305337
29,0111,Wheat,011,Cereals,1990,97900.0,15826.0,154937.0,0.011583969969318408
30,0111,Wheat,011,Cereals,1991,86558.0,11543.0,99913.0,0.007190131788258236
31,0111,Wheat,011,Cereals,1992,97222.0,15652.0,152170.0,0.01054263643229479
32,0111,Wheat,011,Cereals,1993,99244.0,16092.0,159707.0,0.010655624445266285
33,0111,Wheat,011,Cereals,1994,100398.0,17035.0,171033.0,0.010996664281515326
34,0111,Wheat,011,Cereals,1995,101554.0,16831.0,170929.0,0.010614506718140878
35,0111,Wheat,011,Cereals,1996,102815.0,14096.0,144926.0,0.00872295391338776
36,0111,Wheat,011,Cereals,1997,105007.0,12302.0,129175.0,0.007550260595775911
37,0111,Wheat,011,Cereals,1998,111118.0,15034.0,167058.0,0.009487547600872847
38,0111,Wheat,011,Cereals,1999,86112.0,16207.0,139563.0,0.0077044687608062296
39,0111,Wheat,011,Cereals,2000,87334.0,16246.0,141884.0,0.007616419825323292
